league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
SP1,2023-11-05,17:30,Villarreal,Ath Bilbao,2,3,A,3.82,3.94,1.95,3.85,3.95,2.25,3.61,3.79,2.01,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-05,15:15,Valencia,Granada,1,0,H,1.67,4.15,5.29,1.67,4.4,6.25,1.63,4.16,5.36,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-05,13:00,Alaves,Almeria,1,0,H,1.77,3.77,4.99,1.82,4.0,5.4,1.75,3.78,4.91,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-05,20:00,Real Madrid,Vallecano,0,0,D,1.22,6.9,13.8,1.25,7.2,15.0,1.22,6.77,13.56,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-06,20:00,Getafe,Cadiz,1,0,H,2.08,3.1,4.41,2.11,3.29,4.9,2.0,3.15,4.47,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-10,20:00,Ath Bilbao,Celta,4,3,H,1.71,4.04,5.04,1.72,4.2,5.29,1.68,4.06,4.97,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-11,13:00,Vallecano,Girona,1,2,A,2.99,3.5,2.46,3.15,3.55,2.55,3.01,3.45,2.39,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-11,17:30,Granada,Getafe,1,1,D,2.49,3.19,3.19,2.66,3.25,3.26,2.5,3.14,3.11,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-11,17:30,Osasuna,Las Palmas,1,1,D,1.97,3.36,4.47,2.09,3.5,4.62,1.96,3.3,4.36,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-11,20:00,Real Madrid,Valencia,5,1,H,1.32,5.79,10.11,1.37,6.1,10.75,1.34,5.46,9.08,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-11,15:15,Almeria,Sociedad,1,3,A,4.38,3.8,1.85,4.8,3.9,1.87,4.33,3.76,1.83,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-12,17:30,Sevilla,Betis,1,1,D,2.24,3.46,3.42,2.25,3.6,3.56,2.17,3.5,3.31,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-12,20:00,Ath Madrid,Villarreal,3,1,H,1.34,5.81,8.91,1.37,5.9,9.0,1.34,5.62,8.41,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-12,15:15,Barcelona,Alaves,2,1,H,1.25,6.51,12.09,1.28,6.83,13.0,1.25,6.17,11.78,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-24,20:00,Alaves,Granada,3,1,H,1.74,3.67,5.45,1.77,3.78,5.8,1.71,3.66,5.34,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-25,20:00,Ath Madrid,Mallorca,1,0,H,1.36,5.1,9.85,1.38,5.33,10.0,1.35,5.01,9.36,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-25,15:15,Valencia,Celta,0,0,D,2.3,3.32,3.44,2.31,3.56,3.66,2.21,3.34,3.46,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-25,13:00,Vallecano,Barcelona,1,1,D,5.0,4.25,1.68,5.2,4.3,1.71,4.89,4.15,1.68,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-25,17:30,Getafe,Almeria,2,1,H,1.78,3.68,5.06,1.86,3.7,5.13,1.77,3.61,4.85,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-26,13:00,Villarreal,Osasuna,3,1,H,2.2,3.46,3.52,2.21,3.58,3.7,2.16,3.47,3.45,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-26,15:15,Sociedad,Sevilla,2,1,H,1.63,3.95,6.09,1.7,4.05,6.4,1.64,3.85,5.81,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-26,17:30,Cadiz,Real Madrid,0,3,A,6.9,4.7,1.48,7.5,4.86,1.5,6.99,4.6,1.47,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-26,20:00,Betis,Las Palmas,1,0,H,1.72,3.74,5.55,1.72,3.89,6.0,1.69,3.74,5.5,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-27,20:00,Girona,Ath Bilbao,1,1,D,2.27,3.66,3.17,2.35,3.79,3.57,2.23,3.61,3.13,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-11-29,20:00,Mallorca,Cadiz,1,1,D,1.87,3.33,5.15,1.98,3.4,5.15,1.89,3.29,4.78,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-12-01,20:00,Las Palmas,Getafe,2,0,H,2.41,2.98,3.62,2.56,3.0,3.65,2.42,2.94,3.46,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-12-02,13:00,Girona,Valencia,2,1,H,1.67,4.02,5.48,1.7,4.11,5.84,1.65,4.0,5.36,1,True,False,SPAIN_2324.csv,ESP,Esp
