league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
P1,2023-11-11,18:00,Estrela,Moreirense,0,1,A,2.77,3.51,2.63,2.77,3.51,2.76,2.67,3.33,2.64,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-11,15:30,Portimonense,Chaves,2,1,H,2.23,3.6,3.31,2.38,3.6,3.4,2.22,3.39,3.24,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-11,18:00,Vizela,Famalicao,0,0,D,2.42,3.28,3.24,2.45,3.3,3.31,2.33,3.2,3.19,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-11,20:30,Guimaraes,Porto,1,2,A,5.24,3.83,1.73,5.24,3.84,1.77,4.9,3.73,1.72,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-12,15:30,Boavista,Farense,1,3,A,1.97,3.73,3.93,2.05,3.92,3.95,1.97,3.62,3.7,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-12,15:30,Gil Vicente,Rio Ave,1,1,D,2.3,3.45,3.29,2.3,3.61,3.63,2.2,3.41,3.26,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-12,18:00,Arouca,Sp Braga,0,1,A,4.75,4.02,1.75,5.32,4.12,1.75,4.69,4.01,1.69,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-11-12,20:30,Benfica,Sp Lisbon,2,1,H,2.56,3.39,2.92,2.71,3.44,2.92,2.54,3.33,2.78,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-01,20:30,Chaves,Vizela,2,1,H,2.94,3.28,2.51,2.98,3.45,2.7,2.85,3.3,2.5,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-02,20:30,Casa Pia,Portimonense,1,0,H,1.99,3.34,4.08,2.06,3.67,4.1,1.96,3.44,3.93,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-02,18:00,Famalicao,Porto,0,3,A,7.45,4.46,1.49,8.0,4.6,1.54,6.99,4.35,1.47,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-02,15:30,Farense,Guimaraes,1,2,A,3.38,3.65,2.1,3.55,3.84,2.21,3.3,3.6,2.11,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-02,15:30,Rio Ave,Estrela,1,1,D,2.06,3.43,3.72,2.18,3.77,3.86,2.05,3.48,3.59,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-03,15:30,Sp Braga,Estoril,3,1,H,1.35,5.74,7.2,1.46,5.86,8.08,1.38,5.38,6.84,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-03,18:00,Moreirense,Benfica,0,0,D,6.85,4.69,1.45,7.0,4.69,1.54,6.36,4.52,1.48,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-03,20:30,Boavista,Arouca,0,4,A,2.69,3.18,2.79,2.73,3.3,3.08,2.62,3.18,2.79,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-04,20:15,Sp Lisbon,Gil Vicente,3,1,H,1.11,10.17,21.4,1.16,11.4,21.4,1.13,9.19,18.19,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-08,18:00,Benfica,Farense,1,1,D,1.17,8.41,15.77,1.2,9.0,15.83,1.18,7.7,13.72,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-08,15:30,Vizela,Sp Braga,1,3,A,5.85,4.09,1.63,6.0,4.36,1.65,5.33,4.22,1.59,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-09,15:30,Portimonense,Famalicao,1,1,D,2.62,3.33,2.9,2.68,3.36,2.96,2.54,3.26,2.84,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-09,18:00,Guimaraes,Sp Lisbon,3,2,H,4.78,4.02,1.75,5.0,4.1,1.77,4.73,3.95,1.7,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-09,20:30,Porto,Casa Pia,3,1,H,1.24,6.34,14.57,1.27,6.62,14.57,1.24,5.96,12.23,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-10,20:30,Estoril,Chaves,4,0,H,1.88,3.85,4.23,1.93,3.9,4.38,1.85,3.74,4.1,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-10,15:30,Estrela,Boavista,3,1,H,2.29,3.53,3.24,2.29,3.54,3.34,2.21,3.41,3.17,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-10,18:00,Arouca,Rio Ave,2,2,D,2.15,3.26,3.92,2.19,3.34,4.17,2.1,3.2,3.77,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-11,20:15,Gil Vicente,Moreirense,1,1,D,3.29,3.5,2.28,3.57,3.57,2.28,3.22,3.44,2.21,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-15,20:15,Farense,Estrela,0,0,D,2.06,3.61,3.76,2.13,3.62,3.76,2.07,3.5,3.52,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-16,18:00,Arouca,Gil Vicente,3,0,H,2.08,3.48,3.85,2.12,3.56,4.01,2.05,3.41,3.65,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-16,20:30,Boavista,Guimaraes,1,1,D,3.35,3.33,2.33,3.8,3.56,2.33,3.32,3.33,2.22,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-16,15:30,Rio Ave,Vizela,1,1,D,2.38,3.3,3.28,2.42,3.38,3.31,2.34,3.27,3.12,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-17,18:00,Famalicao,Estoril,1,1,D,2.31,3.4,3.33,2.37,3.5,3.49,2.27,3.38,3.14,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-17,15:30,Chaves,Casa Pia,1,3,A,2.72,3.17,2.9,2.75,3.26,3.04,2.62,3.15,2.82,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-17,15:30,Moreirense,Portimonense,5,2,H,1.7,3.8,5.51,1.76,4.04,5.51,1.69,3.78,5.09,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-17,20:30,Sp Braga,Benfica,0,1,A,3.01,3.85,2.29,3.26,3.86,2.35,2.9,3.72,2.28,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-18,20:15,Sp Lisbon,Porto,2,0,H,2.25,3.48,3.37,2.4,3.48,3.39,2.23,3.38,3.23,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-23,15:30,Vizela,Moreirense,0,0,D,3.15,3.09,2.59,3.38,3.28,2.59,3.08,3.12,2.45,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-23,15:30,Guimaraes,Rio Ave,1,0,H,1.77,3.73,5.1,1.78,3.86,5.17,1.73,3.67,4.88,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-28,20:15,Estrela,Arouca,1,4,A,2.92,3.22,2.67,2.93,3.38,2.68,2.81,3.18,2.61,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-12-29,18:45,Benfica,Famalicao,3,0,H,1.25,6.41,12.22,1.3,6.41,12.22,1.26,5.94,10.74,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
